model_name,best_epoch,best_val_auc,best_val_accuracy,best_val_loss,train_auc_at_best_epoch,train_accuracy_at_best_epoch,train_loss_at_best_epoch,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_mean_auc_ovr
ResNet50V2,23,0.9567511081695557,0.7946287393569946,0.4943072497844696,0.9631381034851074,0.8192607760429382,0.45553502440452576,0.8173228346456692,0.8251050923200554,0.8173853071879389,0.8181777918978345,0.8257519655976903,0.8173228346456692,0.8183905019095159,0.9549687472673039
InceptionV3,17,0.948594331741333,0.7661927342414856,0.5468150973320007,0.9474057555198669,0.7772126197814941,0.5476608872413635,0.7795275590551181,0.7830409973709469,0.779431460352513,0.780419627931861,0.782652767196456,0.7795275590551181,0.7802709175990401,0.9426715192782738
Xception,20,0.9437037706375122,0.7630331516265869,0.5722450613975525,0.9548643231391907,0.7965412139892578,0.5101288557052612,0.8062992125984252,0.8114915126919579,0.8063627730294397,0.8074997960349188,0.8123986584327719,0.8062992125984252,0.807874906556155,0.9501663224605218
NASNetMobile,12,0.9362578392028809,0.7424960732460022,0.6046510338783264,0.9400167465209961,0.7616140842437744,0.588435709476471,0.75748031496063,0.7665909778982893,0.7589374968760934,0.7593199371714022,0.7667097249380147,0.75748031496063,0.7585382897539479,0.9341878693423914
DenseNet121,34,0.9313673973083496,0.7330173850059509,0.6260800957679749,0.9563517570495605,0.8046795725822449,0.5022467970848083,0.7590551181102362,0.8156448569950565,0.7622064095748307,0.7575027640415637,0.8162387304836355,0.7590551181102362,0.755235573409978,0.9551577744874772
